"old_CODE_PANEL";"TRI";"CODE_PANEL";"LIB_PANEL";"LEVEL";"GEN_2_PANEL";"GEN_3_PANEL"
"ERC_AA";"AAA";"PE1";"Mathematical foundations : all areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics";"2";"PE";"ERC"
"ERC_AB";"AAB";"PE2";"Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics";"2";"PE";"ERC"
"ERC_AC";"AAC";"PE3";"Condensed matter physics : structure, electronic properties, fluids, nanosciences";"2";"PE";"ERC"
"ERC_AD";"AAD";"PE4";"Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics";"2";"PE";"ERC"
"ERC_AE";"AAE";"PE5";"Materials and synthesis : materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry";"2";"PE";"ERC"
"ERC_AF";"AAF";"PE6";"Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems";"2";"PE";"ERC"
"ERC_AG";"AAG";"PE7";"Systems and communication engineering : electronic, communication, optical and systems engineering";"2";"PE";"ERC"
"ERC_AH";"AAH";"PE8";"Products and processes engineering : product design, process design and control, construction methods, civil engineering, energysystems, material engineering";"2";"PE";"ERC"
"ERC_AI";"AAI";"PE9";"Universe sciences : astro-physics/chemistry/biology; solar system; stellar, galactic and extragalactic astronomy, planetary systems, cosmology, space science, instrumentation";"2";"PE";"ERC"
"ERC_AJ";"AAJ";"PE10";"Earth system science : physical geography, geology, geophysics, meteorology, oceanography, climatology, ecology, global environmental change, biogeochemical cycles, natural resources management";"2";"PE";"ERC"
"ERC_BA";"ACA";"SH1";"Individuals, institutions and markets : economics, finance and management";"2";"SH";"ERC"
"ERC_BB";"ACB";"SH2";"Institutions, values and beliefs and behaviour : sociology, social anthropology, political science, law, communication, social studies of science and technology";"2";"SH";"ERC"
"ERC_BC";"ACD";"SH3";"Environment and society : environmental studies, demography, social geography, urban and regional studies";"2";"SH";"ERC"
"ERC_BD";"ACE";"SH4";"The Human Mind and its complexity : cognition, psychology, linguistics, philosophy and education";"2";"SH";"ERC"
"ERC_BE";"ACF";"SH5";"Cultures and cultural production : literature, visual and performing arts, music, cultural and comparative studies";"2";"SH";"ERC"
"ERC_BF";"ACG";"SH6";"The study of the human past : archaeology, history and memory";"2";"SH";"ERC"
"ERC_CA";"ABA";"LS1";"Molecular and Structural Biology and Biochemistry : molecular biology, biochemistry, biophysics, structural biology, biochemistry of signal transduction";"2";"LS";"ERC"
"ERC_CC";"ABC";"LS3";"Cellular and Developmental Biology : cell biology, cell physiology, signal transduction, organogenesis, evolution and development, developmental genetics, pattern formation in plants and animals";"2";"LS";"ERC"
"ERC_CD";"ABD";"LS4";"Physiology, Pathophysiology and Endocrinology : organ physiology, pathophysiology, endocrinology, metabolism, ageing, regeneration, tumorigenesis, cardiovascular disease, metabolic syndrome";"2";"LS";"ERC"
"ERC_CE";"ABE";"LS5";"Neurosciences and neural disorders : neurobiology, neuroanatomy, neurophysiology, neurochemistry, neuropharmacology, neuroimaging, systems neuroscience, neurological disorders, psychiatry";"2";"LS";"ERC"
"ERC_CF";"ABF";"LS6";"Immunity and infection : immunobiology, aetiology of immune disorders, microbiology, virology, parasitology, global and other infectious diseases, population dynamics of infectious diseases, veterinary medicine";"2";"LS";"ERC"
"ERC_CG";"ABG";"LS7";"Diagnostic tools, therapies and public health : aetiology, diagnosis and treatment of disease, public health, epidemiology, pharmacology, clinical medicine, regenerative medicine, medical ethics";"2";"LS";"ERC"
"ERC_CH";"ABH";"LS8";"Evolutionary, population and environmental biology : evolution, ecology, animal behaviour, population biology, biodiversity, biogeography, marine biology, ecotoxicology, prokaryotic biology";"2";"LS";"ERC"
"ERC_CI";"ABI";"LS9";" Applied life sciences and biotechnology: agricultural, animal, fishery, forestry and food sciences; biotechnology, chemical biology, genetic engineering, synthetic biology, industrial biosciences; environmental biotechnology and remediation";"2";"LS";"ERC"
"ERC_CB";"ABB";"LS2";"Genetics, Genomics, Bioinformatics and Systems Biology : genetics, population genetics, molecular genetics, genomics, transcriptomics, proteomics, metabolomics, bioinformatics, computational biology, biostatistics, biological modelling and simulation, systems biology, genetic epidemiology";"2";"LS";"ERC"
"MSCA_D";"BD";"CHE";"Chemistry";"1";"CHE";"MSCA"
"MSCA_F";"BF";"ECO";"Economic Sciences";"1";"ECO";"MSCA"
"MSCA_C";"BC";"ENG";"Information Science and Engineering";"1";"ENG";"MSCA"
"MSCA_E";"BE";"ENV";"Environment and Geosciences";"1";"ENV";"MSCA"
"MSCA_H";"BG";"LIF";"Life Sciences";"1";"LIF";"MSCA"
"ERC_C";"AB";"LS";"Life Science";"1";"ERC";"ERC"
"MSCA_A";"BA";"MAT";"Mathematics";"1";"MAT";"MSCA"
"ERC_A";"AA";"PE";"Physical Sciences and Engineering";"1";"ERC";"ERC"
"MSCA_B";"BB";"PHY";"Physics";"1";"PHY";"MSCA"
"ERC_B";"AC";"SH";"Social Sciences and Humanities";"1";"ERC";"ERC"
"MSCA_G";"BH";"SOC";"Social Sciences and Humanities";"1";"SOC";"MSCA"
"ERC_Z";"AD";"PC";"Proof of concept";"1";"ERC";"ERC"
"ERC_ZA";"ADA";"PC1";"Proof of concept";"2";"PC";"ERC"
"ERC";"A";"ERC";"European research council";"0";;
"MSCA";"B";"MSCA";"Marie Sklodowska-Curie actions";"0";;
