"CD_TOPIC";"LB_TOPIC_DESC";"CD_DIVISION";"LB_DIVISION_DESC"
"ALTFI-01-2017";"Improving access by innovative SMEs to alternative forms of finance";"EU.2.";"Industrial Leadership"
"ART-01-2017";"ICT infrastructure to enable the transition towards road transport automation";"EU.3.4.";"Smart, green and integrated transport"
"ART-02-2016";"Automation pilots for passenger cars";"EU.3.4.";"Smart, green and integrated transport"
"ART-03-2017";"Multi-Brand platooning in real traffic conditions";"EU.3.4.";"Smart, green and integrated transport"
"ART-04-2016";"Safety and end-user acceptance aspects of road automation in the transition period";"EU.3.4.";"Smart, green and integrated transport"
"ART-05-2016";"Road infrastructure to support the transition to automation and the coexistence of conventional and automated vehicles on the same network";"EU.3.4.";"Smart, green and integrated transport"
"ART-06-2016";"Coordination of activities in support of road automation";"EU.3.4.";"Smart, green and integrated transport"
"ART-07-2017";"Full-scale demonstration of urban road transport automation";"EU.3.4.";"Smart, green and integrated transport"
"BB-01-2016";"Sustainability schemes for the bio-based economy";"EU.3.2.4.3.";"Supporting market development for bio-based products and processes"
"BB-02-2017";"Towards a method for the collection of statistical data on bio-based industries and bio-based products";"EU.3.2.4.3.";"Supporting market development for bio-based products and processes"
"BB-03-2017";"Adaptive tree breeding strategies and tools for forest production systems resilient to climate change and natural disturbances";"EU.3.2.1.4.";"Sustainable forestry"
"BB-04-2016";"Intelligent solutions and tools in forest production systems, fostering a sustainable supply of quality wood for the growing bioeconomy";"EU.3.2.1.4.";"Sustainable forestry"
"BB-05-2017";"Bio-based products: Mobilisation and mutual learning action plan";"EU.3.2.4.3.";"Supporting market development for bio-based products and processes"
"BB-06-2016";"The regional dimension of bio-based industries";"EU.3.2.4.3.";"Supporting market development for bio-based products and processes"
"BB-07-2017";"Plant Molecular Factory";"EU.3.2.4.2.";"Developing integrated biorefineries"
"BB-08-2017";"Strategies for improving the bioeconomy knowledge of the general public";"EU.3.2.4.3.";"Supporting market development for bio-based products and processes"
"BBI-2016-D01";"Improve sustainability of value chains based on forest biomass and increase productivity and profitability on supply side by adapting forests to climate changes";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-D02";"Improvement and adaptation of industrial crop varieties and novel sources of biomass to diversify biomass feedstock for biorefineries";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-D03";"Valorisation of lignin and other side-streams to increase efficiency of biorefineries and increase sustainability of the whole value chain";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-D04";"New and optimised biorefinery approaches enabling the creation of local value chains in underdeveloped or unexploited areas";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-D05";"Bio-based polymers/plastic materials with new functionalities for medical, construction, automotive and textile industries";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-D06";"Valorisation of the organic content of Municipal Solid Waste and contributing to the renewable circular economy";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-D07";"Optimise technical production routes to bio-based chemicals in bio- or chemo-catalytic processes";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-D08";"New sources of proteins for animal feed from co-products to address the EU protein gap";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-D09";"Biomass production on unused land for conversion into added-value products while ‘boosting rural and industrial development’";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-F01";"Valorisation of by-products or waste-streams from the food processing industry into high added-value products for market applications";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-F02";"Converting bio-based feedstocks via chemical building blocks into advanced materials for market applications";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-R01";"Valorisation of the organic content of wastewater as feedstock, contributing to the renewable circular economy";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-R02";"Develop consolidated bioprocesses for direct fermentation into bio-compounds for chemicals and materials";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-R03";"Improve control over microorganism growth in bio-catalysis operations in order to reduce/avoid contamination without antibiotics";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-R04";"Flexible biorefining technologies able to handle different feedstock, leading to new value chains or enlarging existing ones by using the same processing plant";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-R05";"Advanced biomaterials for smart food packaging";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-R06";"Bio-based alternatives to improve protection of human health and the environment";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-R07";"Biopolymers with advanced functionalities for high performance applications";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-R08";"Emerging technologies for conversion of the organic content of Municipal Solid Waste and improving waste-to-chemicals value chains";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-R09";"Exploiting algae and other aquatic biomass for production of molecules for pharma, nutraceuticals, food additives and cosmetic applications";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-R10";"Industrial biotransformation for the production of bio-based chemicals";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-R11";"Recover and reuse enzymes to reduce costs of existing industrial processes";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-R12";"Emerging technologies for separation and purification of fermentation products to obtain high grade bio-based molecules at industrial level";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-S01";"A roadmap for the chemical industry to a bioeconomy";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-S02";"Bioeconomy related open access research infrastructure and assessing its capabilities for industry driven development projects";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-S03";"Open-innovation Platform strengthening cooperation and joint development of bio-based industries and downstream sectors";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI-2016-S04";"Clustering and networking for new value chains";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"BBI.2017.D1";"Valorisation of liquid and solid side streams from bio-based operations into high added-value products to create new feedstock for bio-based products";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.D2";"Integrated multi-valorisation of algae into advanced materials and high added-value additives";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.D3";"Breakthrough primary bio-based chemicals without significant fossil-based counterparts but with high marketability";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.D4";"Innovative bio-based fertilising products to increase the sustainability of fertilising practices in agriculture";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.D5";"Advanced bio-based fibres and materials for large-volume applications";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.F1";"Integrated ‘zero waste’ biorefinery utilising all fractions of the feedstock for production of chemicals and materials";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.F2";"Large-scale production of proteins for food and feed applications from alternative, sustainable sources";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.R1";"Valorisation of gaseous side streams from bio-based operations into chemical building blocks";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.R2";"Innovative technologies for the pre-treatment and separation of lignocellulosic feedstock and complex composition streams into valuable fractions while maintaining key characteristics";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.R3";"Exploiting extremophiles and extremozymes to broaden the processing conditions to convert biomass into high-value building blocks";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.R4";"Proteins and other bioactive ingredients from side streams and residues";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.R5";"Novel bio-based chemical precursors to improve the performance of mass consumption products";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.R6";"Competitive biodegradable, compostable and/or recyclable bio-based plastics for a sustainable end-of-life phase";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.R7";"Novel secondary bio-based chemicals without significant fossil-based counterparts but with high application potential";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.S1";"Establish cooperation and partnership with brand owners and consumer representatives to improve the market access of sustainable bio-based products";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.2017.S2";"Identify opportunities for ICT to increase the efficiency of biomass supply chains for the bio-based industry";"EU.3.2.6.1.";"Sustainable and competitive bio-based industries and supporting the development of a European bio-economy"
"BBI.D7-2015";"Overcoming low product yields from fermentation processes";"EU.3.2.6.";"Bio-based Industries Joint Technology Initiative (BBI-JTI)"
"EO-3-2017";"Preparation for a European capacity to monitor CO2 anthropogenic emissions";"EU.2.1.6.3.";"Enabling exploitation of space data"
"ERC";"European Research Council";"EU.1.1.";"European Research Council (ERC)"
"ERC-14";"ERC-14";"EU.1.1.";"European Research Council (ERC)"
"ERC-2016-ADG";"ERC Advanced Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-2016-COG";"ERC Consolidator Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-2016-NCP";"NCP project on strengthening competitiveness in ERC calls";"EU.1.1.";"European Research Council (ERC)"
"ERC-2016-STG";"ERC Starting Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-2017-ADG";"ERC Advanced Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-2017-COG";"ERC Consolidator Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-2017-PoC";"ERC-Proof of Concept";"EU.1.1.";"European Research Council (ERC)"
"ERC-2017-STG";"ERC Starting Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-2018-ADG";"ERC Advanced Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-2018-COG";"ERC Consolidator Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-2018-PoC";"ERC Proof of Concept Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-2018-STG";"ERC Starting Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-2018-SyG";"ERC Synergy Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-ADG-2014";"ERC Advanced Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-ADG-2015";"ERC Advanced Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-CoG-2014";"ERC Consolidator Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-CoG-2015";"ERC Consolidator Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-PoC-2014";"ERC Proof of Concept Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-PoC-2015";"ERC Proof of Concept Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-PoC-2016";"ERC-Proof of Concept-2016";"EU.1.1.";"European Research Council (ERC)"
"ERC-StG-2014";"ERC Starting Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-StG-2015";"ERC Starting Grant";"EU.1.1.";"European Research Council (ERC)"
"ERC-SUPPORT-2014";"ERC Support for novel ways to highlight the work funded by the ERC and reach out a wider public.";"EU.1.1.";"European Research Council (ERC)"
"EUB-01-2017";"Cloud Computing";"EU.2.1.1.";"Information and Communication Technologies"
"EUB-02-2017";"IoT Pilots";"EU.2.1.1.";"Information and Communication Technologies"
"EUB-03-2017";"5G Networks";"EU.2.1.1.";"Information and Communication Technologies"
"EUB-1-2015";"Cloud Computing, including security aspects";"EU.2.1.1.";"Information and Communication Technologies"
"EUB-2-2015";"High Performance Computing (HPC)";"EU.2.1.1.";"Information and Communication Technologies"
"EUB-3-2015";"Experimental Platforms";"EU.2.1.1.";"Information and Communication Technologies"
"EUJ-01-2016";"5G – Next Generation Communication Networks";"EU.2.1.1.";"Information and Communication Technologies"
"EUJ-01-2018";"Advanced technologies (Security/Cloud/IoT/BigData) for a hyper-connected society in the context of Smart City";"EU.2.1.1.";"Information and Communication Technologies"
"EUJ-02-2016";"IoT/Cloud/Big Data platforms in social application contexts";"EU.2.1.1.";"Information and Communication Technologies"
"EUJ-02-2018";"5G and beyond";"EU.2.1.1.";"Information and Communication Technologies"
"EUJ-03-2016";"Experimental testbeds on Information-Centric Networking";"EU.2.1.1.";"Information and Communication Technologies"
"EUJ-1-2014";"Technologies combining big data, internet of things in the cloud";"EU.2.1.1.";"Information and Communication Technologies"
"EUJ-2-2014";"Optical communications";"EU.2.1.1.";"Information and Communication Technologies"
"EUJ-3-2014";"Access networks for densely located users";"EU.2.1.1.";"Information and Communication Technologies"
"EUJ-4-2014";"Experimentation and development on federated Japan - EU testbeds";"EU.2.1.1.";"Information and Communication Technologies"
"EUK-01-2016";"5G – Next Generation Communication Networks";"EU.2.1.1.";"Information and Communication Technologies"
"EUK-01-2018";"Cloud, IoT and AI technologies";"EU.2.1.1.";"Information and Communication Technologies"
"EUK-02-2016";"IoT joint research";"EU.2.1.1.";"Information and Communication Technologies"
"EUK-02-2018";"5G";"EU.2.1.1.";"Information and Communication Technologies"
"EUK-03-2016";"Federated Cloud resource brokerage for mobile cloud services";"EU.2.1.1.";"Information and Communication Technologies"
"EURATOM";"EURATOM";"Euratom";"Euratom Research and Training Programme 2014-2018"
"EURO-1-2014";"Resilient and sustainable economic and monetary union in Europe";"EU.3.6.";"Europe in a changing world - inclusive, innovative and reflective societies"
"EURO-2-2014";"The European growth agenda";"EU.3.6.";"Europe in a changing world - inclusive, innovative and reflective societies"
"EURO-3-2014";"European societies after the crisis";"EU.3.6.";"Europe in a changing world - inclusive, innovative and reflective societies"
"EURO-4-2014";"Political challenges for Europe";"EU.3.6.";"Europe in a changing world - inclusive, innovative and reflective societies"
"EURO-5-2015";"ERA-NET on Smart Urban Futures";"EU.3.6.";"Europe in a changing world - inclusive, innovative and reflective societies"
"EURO-6-2015";"Meeting new societal needs by using emerging technologies in the public sector";"EU.3.6.";"Europe in a changing world - inclusive, innovative and reflective societies"
"Europe";"Europe";"EU.3.6.";"Europe in a changing world - inclusive, innovative and reflective societies"
"FCH-01-10-2016";"Validation of fuel cell urban trucks and related infrastructure";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01.1-2014";"Standardization of components for cost-efficient fuel cell systems for transportation applications";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01.1-2015";"Low cost and durable PEMFCs for transport applications";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01.1-2015";"Low cost and durable PEMFCs for transport applications";"EU.3.5.7.1.";"Reduce the use of the EU defined ""Critical raw materials"", for instance through low platinum or platinum free resources and through recycling or reducing or avoiding the use of rare earth elements"
