"";"CODE_ACT";"CODE_ACTION";"action4_tri";"action4_id";"action4_lib";"action_4";"action3_tri";"action3_id";"action3_lib";"action_3";"action2_tri";"action2_id";"action2_lib";"action_2";"action1_tri";"action1_id";"action1_lib";"action_1"
"1";"SME-2";"TB";"GB";"SME-2";"SME instrument phase 2";"SME-2 - SME instrument phase 2";"GB";"SME-2";"SME instrument phase 2";"SME-2 - SME instrument phase 2";"GB";"SME-2";"SME instrument phase 2";"SME-2 - SME instrument phase 2";"G";"SME";"SME instrument";"SME - SME instrument"
"2";"RIA";"Q";"A";"RIA";"Research and Innovation action";"RIA - Research and Innovation action";"A";"RIA";"Research and Innovation action";"RIA - Research and Innovation action";"A";"RIA";"Research and Innovation action";"RIA - Research and Innovation action";"A";"RIA";"Research and Innovation action";"RIA - Research and Innovation action"
"3";"CSA";"D";"C";"CSA";"Coordination and support action";"CSA - Coordination and support action";"C";"CSA";"Coordination and support action";"CSA - Coordination and support action";"C";"CSA";"Coordination and support action";"CSA - Coordination and support action";"C";"CSA";"Coordination and support action";"CSA - Coordination and support action"
"4";"ERC-SyG";"HF";"DF";"ERC-SyG";"Synergy grant";"ERC-SyG - Synergy grant";"DF";"ERC-SyG";"Synergy grant";"ERC-SyG - Synergy grant";"DF";"ERC-SyG";"Synergy grant";"ERC-SyG - Synergy grant";"D";"ERC";"Support for frontier research";"ERC - Support for frontier research"
"5";"SME-1";"TA";"GA";"SME-1";"SME instrument phase 1";"SME-1 - SME instrument phase 1";"GA";"SME-1";"SME instrument phase 1";"SME-1 - SME instrument phase 1";"GA";"SME-1";"SME instrument phase 1";"SME-1 - SME instrument phase 1";"G";"SME";"SME instrument";"SME - SME instrument"
"6";"IA";"K";"B";"IA";"Innovation action";"IA - Innovation action";"B";"IA";"Innovation action";"IA - Innovation action";"B";"IA";"Innovation action";"IA - Innovation action";"B";"IA";"Innovation action";"IA - Innovation action"
"7";"ERC-ADG";"HA";"DA";"ERC-ADG";"Advanced Grant";"ERC-ADG - Advanced Grant";"DA";"ERC-ADG";"Advanced Grant";"ERC-ADG - Advanced Grant";"DA";"ERC-ADG";"Advanced Grant";"ERC-ADG - Advanced Grant";"D";"ERC";"Support for frontier research";"ERC - Support for frontier research"
"8";"MSCA-IF-EF";"OBA";"EBA";"MSCA-IF-EF";"European Fellowships";"MSCA-IF-EF - European Fellowships";"EBA";"MSCA-IF-EF";"European Fellowships";"MSCA-IF-EF - European Fellowships";"EB";"MSCA-IF";"Marie Sklodowska-Curie Individual Fellowships";"MSCA-IF - Marie Sklodowska-Curie Individual Fellowships";"E";"MSCA";"Marie Sklodowska-Curie actions";"MSCA - Marie Sklodowska-Curie actions"
"9";"ERC-POC";"HD";"DD";"ERC-POC";"Proof of Concept Grant";"ERC-POC - Proof of Concept Grant";"DD";"ERC-POC";"Proof of Concept Grant";"ERC-POC - Proof of Concept Grant";"DD";"ERC-POC";"Proof of Concept Grant";"ERC-POC - Proof of Concept Grant";"D";"ERC";"Support for frontier research";"ERC - Support for frontier research"
"10";"ERC-STG";"HE";"DE";"ERC-STG";"Starting Grant";"ERC-STG - Starting Grant";"DE";"ERC-STG";"Starting Grant";"ERC-STG - Starting Grant";"DE";"ERC-STG";"Starting Grant";"ERC-STG - Starting Grant";"D";"ERC";"Support for frontier research";"ERC - Support for frontier research"
"11";"MSCA-IF-GF";"OBB";"EBF";"MSCA-IF-GF";"Global Fellowships";"MSCA-IF-GF - Global Fellowships";"EBF";"MSCA-IF-GF";"Global Fellowships";"MSCA-IF-GF - Global Fellowships";"EB";"MSCA-IF";"Marie Sklodowska-Curie Individual Fellowships";"MSCA-IF - Marie Sklodowska-Curie Individual Fellowships";"E";"MSCA";"Marie Sklodowska-Curie actions";"MSCA - Marie Sklodowska-Curie actions"
"12";"MSCA-ITN-ETN";"OCB";"ECB";"MSCA-ITN-ETN";"Training Networks";"MSCA-ITN-ETN - Training Networks";"ECB";"MSCA-ITN-ETN";"Training Networks";"MSCA-ITN-ETN - Training Networks";"EC";"MSCA-ITN";"Marie Sklodowska-Curie Innovative Training Networks";"MSCA-ITN - Marie Sklodowska-Curie Innovative Training Networks";"E";"MSCA";"Marie Sklodowska-Curie actions";"MSCA - Marie Sklodowska-Curie actions"
"13";"ERC-COG";"HB";"DB";"ERC-COG";"Consolidator Grant";"ERC-COG - Consolidator Grant";"DB";"ERC-COG";"Consolidator Grant";"ERC-COG - Consolidator Grant";"DB";"ERC-COG";"Consolidator Grant";"ERC-COG - Consolidator Grant";"D";"ERC";"Support for frontier research";"ERC - Support for frontier research"
"14";"MSCA-RISE";"OD";"ED";"MSCA-RISE";"Research and Innovation Staff Exchange";"MSCA-RISE - Research and Innovation Staff Exchange";"ED";"MSCA-RISE";"Research and Innovation Staff Exchange";"MSCA-RISE - Research and Innovation Staff Exchange";"ED";"MSCA-RISE";"Research and Innovation Staff Exchange";"MSCA-RISE - Research and Innovation Staff Exchange";"E";"MSCA";"Marie Sklodowska-Curie actions";"MSCA - Marie Sklodowska-Curie actions"
"15";"MSCA-ITN-EID";"OCC";"ECC";"MSCA-ITN-EID";"European Industrial Doctorates";"MSCA-ITN-EID - European Industrial Doctorates";"ECC";"MSCA-ITN-EID";"European Industrial Doctorates";"MSCA-ITN-EID - European Industrial Doctorates";"EC";"MSCA-ITN";"Marie Sklodowska-Curie Innovative Training Networks";"MSCA-ITN - Marie Sklodowska-Curie Innovative Training Networks";"E";"MSCA";"Marie Sklodowska-Curie actions";"MSCA - Marie Sklodowska-Curie actions"
"16";"H2020-EEN-SGA";"Z";"Q";"H2020-EEN-SGA";"Enterprise Europe Network";"H2020-EEN-SGA - Enterprise Europe Network";"Q";"H2020-EEN-SGA";"Enterprise Europe Network";"H2020-EEN-SGA - Enterprise Europe Network";"Q";"H2020-EEN-SGA";"Enterprise Europe Network";"H2020-EEN-SGA - Enterprise Europe Network";"Q";"H2020-EEN-SGA";"Enterprise Europe Network";"H2020-EEN-SGA - Enterprise Europe Network"
"17";"JTI-CS2-IA";"CA";"KB";"JTI-CS2-IA";"Innovation action";"JTI-CS2-IA - Innovation action";"KB";"JTI-CS2-IA";"Innovation action";"JTI-CS2-IA - Innovation action";"KB";"JTI-CS2-IA";"Innovation action";"JTI-CS2-IA - Innovation action";"K";"JTI-CS2";"JTI Clean Sky 2";"JTI-CS2 - JTI Clean Sky 2"
"18";"JTI-IMI2-RIA";"LB";"NB";"JTI-IMI2-RIA";"Research and Innovation action";"JTI-IMI2-RIA - Research and Innovation action";"NB";"JTI-IMI2-RIA";"Research and Innovation action";"JTI-IMI2-RIA - Research and Innovation action";"NB";"JTI-IMI2-RIA";"Research and Innovation action";"JTI-IMI2-RIA - Research and Innovation action";"N";"JTI-IMI2";"JTI Innovative Medicines Initiative";"JTI-IMI2 - JTI Innovative Medicines Initiative"
"19";"SME-2b";"TC";"GC";"SME-2b";"SME Instrument (grant only and blended finance)";"SME-2b - SME Instrument (grant only and blended finance)";"GC";"SME-2b";"SME Instrument (grant only and blended finance)";"SME-2b - SME Instrument (grant only and blended finance)";"GC";"SME-2b";"SME Instrument (grant only and blended finance)";"SME-2b - SME Instrument (grant only and blended finance)";"G";"SME";"SME instrument";"SME - SME instrument"
"20";"ERC-POC-LS";"HDA";"DDD";"ERC-POC-LS";"ERC Proof of Concept Lump Sum Pilot";"ERC-POC-LS - ERC Proof of Concept Lump Sum Pilot";"DDD";"ERC-POC-LS";"ERC Proof of Concept Lump Sum Pilot";"ERC-POC-LS - ERC Proof of Concept Lump Sum Pilot";"DD";"ERC-POC";"Proof of Concept Grant";"ERC-POC - Proof of Concept Grant";"D";"ERC";"Support for frontier research";"ERC - Support for frontier research"
"21";"RIA-LS";"QA";"AB";"RIA-LS";"Research and Innovation action Lump Sum";"RIA-LS - Research and Innovation action Lump Sum";"AB";"RIA-LS";"Research and Innovation action Lump Sum";"RIA-LS - Research and Innovation action Lump Sum";"AB";"RIA-LS";"Research and Innovation action Lump Sum";"RIA-LS - Research and Innovation action Lump Sum";"A";"RIA";"Research and Innovation action";"RIA - Research and Innovation action"
"22";"CSA-LS";"DA";"CA";"CSA-LS";"Lump sum";"CSA-LS - Lump sum";"CA";"CSA-LS";"Lump sum";"CSA-LS - Lump sum";"CA";"CSA-LS";"Lump sum";"CSA-LS - Lump sum";"C";"CSA";"Coordination and support action";"CSA - Coordination and support action"
"23";"JTI-FCH2-RIA";"IB";"MA";"JTI-FCH2-RIA";"Research and Innovation action";"JTI-FCH2-RIA - Research and Innovation action";"MA";"JTI-FCH2-RIA";"Research and Innovation action";"JTI-FCH2-RIA - Research and Innovation action";"MA";"JTI-FCH2-RIA";"Research and Innovation action";"JTI-FCH2-RIA - Research and Innovation action";"M";"JTI-FCH2";"FCH2 JU actions";"JTI-FCH2 - FCH2 JU actions"
"24";"JTI-ECSEL-RIA";"FB";"LA";"JTI-ECSEL-RIA";"Research and Innovation Action";"JTI-ECSEL-RIA - Research and Innovation Action";"LA";"JTI-ECSEL-RIA";"Research and Innovation Action";"JTI-ECSEL-RIA - Research and Innovation Action";"LA";"JTI-ECSEL-RIA";"Research and Innovation Action";"JTI-ECSEL-RIA - Research and Innovation Action";"L";"JTI-ECSEL";"JTI Electronic Components and Systems for European Leadership";"JTI-ECSEL - JTI Electronic Components and Systems for European Leadership"
"25";"ERA-NET-Cofund";"BA";"FA";"ERA-NET-Cofund";"ERA-NET Cofund";"ERA-NET-Cofund - ERA-NET Cofund";"FA";"ERA-NET-Cofund";"ERA-NET Cofund";"ERA-NET-Cofund - ERA-NET Cofund";"FA";"ERA-NET-Cofund";"ERA-NET Cofund";"ERA-NET-Cofund - ERA-NET Cofund";"F";"COFUND";"Co-funding of regional, national and international programmes";"COFUND - Co-funding of regional, national and international programmes"
"26";"SGA-CSA";"SA";"HA";"SGA-CSA";"Coordination and Support Action";"SGA-CSA - Coordination and Support Action";"HA";"SGA-CSA";"Coordination and Support Action";"SGA-CSA - Coordination and Support Action";"HA";"SGA-CSA";"Coordination and Support Action";"SGA-CSA - Coordination and Support Action";"H";"SGA";"Specific Grant agreement";"SGA - Specific Grant agreement"
"27";"MSCA-ITN-EJD";"OCA";"ECA";"MSCA-ITN-EJD";"European Joint Doctorates";"MSCA-ITN-EJD - European Joint Doctorates";"ECA";"MSCA-ITN-EJD";"European Joint Doctorates";"MSCA-ITN-EJD - European Joint Doctorates";"EC";"MSCA-ITN";"Marie Sklodowska-Curie Innovative Training Networks";"MSCA-ITN - Marie Sklodowska-Curie Innovative Training Networks";"E";"MSCA";"Marie Sklodowska-Curie actions";"MSCA - Marie Sklodowska-Curie actions"
"28";"JTI-CS2-RIA";"CB";"KA";"JTI-CS2-RIA";"Research and Innovation action";"JTI-CS2-RIA - Research and Innovation action";"KA";"JTI-CS2-RIA";"Research and Innovation action";"JTI-CS2-RIA - Research and Innovation action";"KA";"JTI-CS2-RIA";"Research and Innovation action";"JTI-CS2-RIA - Research and Innovation action";"K";"JTI-CS2";"JTI Clean Sky 2";"JTI-CS2 - JTI Clean Sky 2"
